dept_name,title,count
Customer Service,Senior Engineer,545
Customer Service,Senior Staff,3795
Customer Service,Technique Leader,64
Development,Senior Engineer,12980
Development,Senior Staff,166
Development,Technique Leader,1795
Finance,Senior Staff,3226
Human Resources,Senior Staff,2971
Marketing,Senior Staff,3388
Production,Senior Engineer,10039
Production,Senior Staff,211
Production,Technique Leader,1422
Quality Management,Senior Engineer,2352
Quality Management,Technique Leader,322
Research,Manager,1
Research,Senior Staff,2834
Sales,Manager,1
Sales,Senior Staff,8335
